緯創資通,4953
緯創資通,6285
震旦,2373
震旦,2433
燁聯鋼鐵,2007
燁聯鋼鐵,2023
錸德,2349
錸德,8104
霖園,2501
霖園,2882
燦坤企業,2430
燦坤企業,2719
燦坤企業,4930
聯華神通,1229
聯華神通,1313
聯華神通,2347
聯華神通,2471
聯華神通,3004
聯華神通,3005
聯華神通,3706
聯華神通,6235
聯華神通,8122
聯電,2303
聯電,2363
聯電,3014
聯電,3024
聯電,3034
聯電,3035
聯電,3037
聯電,3227
聯電,3321
聯電,6168
聯電,6202
聯電,3585
聯電,8179
聲寶,1604
聲寶,4532
聲寶,8059
